ENSEMBL gene ID	E1_ADIP3773	E1_ADIP3842	E1_ADIP3886
ENSBTAG00000000012	2.725568	5.134759	6.691768
ENSBTAG00000000032	9.203103	7.898942	11.591132
ENSBTAG00000000033	0.607931	0.356496	0.300275
ENSBTAG00000000040	10.047157	10.217588	13.185547
ENSBTAG00000000046	7.023517	5.413497	5.653501
ENSBTAG00000000057	17.898802	28.941788	24.082333
ENSBTAG00000000072	6.953381	5.865973	7.774122
ENSBTAG00000000081	12.733145	9.52757	14.434188
ENSBTAG00000000085	0.076023	0.0	0.272044
ENSBTAG00000000140	125.109779	178.422531	157.259293
ENSBTAG00000000146	21.951078	24.652571	26.276947
ENSBTAG00000000160	12.156931	8.121004	6.798251
ENSBTAG00000000172	0.0	0.0	0.0
ENSBTAG00000000197	0.895689	1.008257	1.103506
ENSBTAG00000000277	32.269062	52.822872	30.812048
ENSBTAG00000000285	4.027486	4.591781	5.205608
ENSBTAG00000000286	8.505358	7.832462	10.728398
ENSBTAG00000000296	36.341057	21.589127	28.732237
ENSBTAG00000000317	16.453262	24.057016	17.417377
ENSBTAG00000000330	28.320496	24.606985	25.119833
ENSBTAG00000000354	0.0	0.268484	0.190515
ENSBTAG00000000355	4.646752	5.086424	4.908477
ENSBTAG00000000356	9.227464	8.679368	9.431643
ENSBTAG00000000379	12.071999	11.665529	12.117888
ENSBTAG00000000409	5.42396	6.620211	6.449175
ENSBTAG00000000411	42.019665	45.77129	51.299492
ENSBTAG00000000435	9.961688	11.888437	12.346972
ENSBTAG00000000446	4.721445	2.253873	2.826943
ENSBTAG00000000475	3.34929	3.576055	2.661262
ENSBTAG00000000478	1.455263	1.757686	0.723602
ENSBTAG00000000480	57.727745	41.312077	42.479229
ENSBTAG00000000489	2.043313	2.891516	3.607532
ENSBTAG00000000490	3.277313	6.340506	6.290748
ENSBTAG00000000500	4.878358	6.737012	3.719201
ENSBTAG00000000511	4.641392	3.541292	4.510982
ENSBTAG00000000524	156.099716	172.093643	174.097046
ENSBTAG00000000536	19.89596	18.970528	26.381372
ENSBTAG00000000559	45.737751	123.334915	103.351616
ENSBTAG00000000565	3.401307	3.031426	3.802908
ENSBTAG00000000575	4.622524	2.171419	5.25695
ENSBTAG00000000586	1.732491	2.160455	2.237717
ENSBTAG00000000590	0.9725	0.183839	0.085851
ENSBTAG00000000646	6.54647	8.357041	8.389349
ENSBTAG00000000654	0.037425	0.184168	0.50365
ENSBTAG00000000670	8.509306	13.314021	9.998823
ENSBTAG00000000671	5.746303	11.643763	8.885831
ENSBTAG00000000694	152.754379	174.651047	154.484268
ENSBTAG00000000696	90.424774	96.68615	103.720184
ENSBTAG00000000697	2.591611	2.146097	2.553753
ENSBTAG00000000712	21.974026	19.994705	22.378262
ENSBTAG00000000771	33.731937	39.199081	38.708839
ENSBTAG00000000785	1.987346	1.92797	1.455522
ENSBTAG00000000789	55.348728	65.336464	53.628662
ENSBTAG00000000795	3.387398	2.352298	1.46391
ENSBTAG00000000810	326.564087	364.623108	323.044037
ENSBTAG00000000811	18.043949	34.474854	26.727631
ENSBTAG00000000817	1.420292	0.93369	1.524758
ENSBTAG00000000829	4.638876	5.083823	6.259528
ENSBTAG00000000831	5.886508	7.937928	5.988731
ENSBTAG00000000833	177.411942	224.597672	220.401794
ENSBTAG00000000848	39.185078	38.754581	41.89938
ENSBTAG00000000856	5.172425	8.019027	7.758482
ENSBTAG00000000857	23.641552	21.597401	22.747913
ENSBTAG00000000910	0.089185	0.306996	0.687827
ENSBTAG00000000916	0.0	0.30994	0.31354
ENSBTAG00000000918	3.849544	7.494963	7.094645
ENSBTAG00000000923	0.0	0.0	0.0
ENSBTAG00000000925	23.538048	39.840618	50.749367
ENSBTAG00000000945	24.560041	14.131411	9.435606
ENSBTAG00000000958	0.36202	0.498944	0.540084
ENSBTAG00000000961	2.397495	4.360833	4.70689
ENSBTAG00000000973	0.053123	0.665852	0.199712
ENSBTAG00000000981	5.312282	6.086342	7.489933
ENSBTAG00000000982	0.0	0.071865	0.0
ENSBTAG00000000990	54.959999	51.965942	48.727898
ENSBTAG00000000991	10.254187	8.464697	8.730052
ENSBTAG00000000997	0.0	0.0	0.0
ENSBTAG00000001009	9.357293	6.895281	7.356497
ENSBTAG00000001014	13.788486	18.973391	21.141138
ENSBTAG00000001020	0.0	0.024854	0.0
ENSBTAG00000001042	2.679604	2.897518	5.064143
ENSBTAG00000001058	0.0	0.0	0.0
ENSBTAG00000001059	0.0	0.0	0.0
ENSBTAG00000001062	0.0	0.0	0.0
ENSBTAG00000001069	25.38452	27.557674	29.33099
ENSBTAG00000001071	8.528566	9.427997	10.870725
ENSBTAG00000001101	0.086507	0.116708	0.048727
ENSBTAG00000001109	39.969055	45.070118	38.372414
ENSBTAG00000001113	9.797094	5.454099	5.589941
ENSBTAG00000001119	5.386672	4.911104	7.662394
ENSBTAG00000001120	1.628912	1.537745	1.378384
ENSBTAG00000001126	4.288932	4.049853	2.940211
