ENSEMBL gene ID	E1_HEAR3770	E1_HEAR3773	E1_HEAR3842	E1_HEAR3886	E4_Heart1	E4_Heart2	E4_Heart3
ENSBTAG00000000012	3.848407	4.436405	5.37698	5.771232	7.315503	5.894417	5.942513
ENSBTAG00000000032	6.183107	6.626374	3.751776	2.85434	0.726483	0.543468	2.22799
ENSBTAG00000000033	3.750221	4.21351	3.801247	2.781747	1.541473	1.315081	2.13514
ENSBTAG00000000040	5.719249	6.978616	5.731085	5.996511	3.149942	2.187502	4.100554
ENSBTAG00000000046	9.147653	8.189908	8.241941	8.316321	1.62687	1.000407	2.499926
ENSBTAG00000000057	3.687574	5.330577	2.745157	2.890369	0.0	0.720908	0.852264
ENSBTAG00000000072	16.612616	15.697362	15.648876	21.309965	22.29764	20.9768	20.50732
ENSBTAG00000000081	3.766507	6.30792	3.009261	3.311633	0.456875	1.638804	1.310678
ENSBTAG00000000085	0.265709	0.882036	0.0	0.123066	0.0	0.592116	0.042397
ENSBTAG00000000140	17.79784	54.633598	78.901459	78.949738	19.71215	11.09129	18.44881
ENSBTAG00000000146	6.210848	6.882834	4.695899	5.604202	1.745954	1.263501	2.535447
ENSBTAG00000000160	2.324397	2.753525	2.969626	2.789934	0.436427	0.864222	1.044666
ENSBTAG00000000172	0.0	0.0	0.0	0.0	0.0	0.0	0.070499
ENSBTAG00000000197	0.734118	0.652445	0.58671	0.614691	1.255988	0.562109	0.885922
ENSBTAG00000000277	8.141086	7.357165	6.787796	5.784132	1.580864	1.711684	0.787357
ENSBTAG00000000285	5.006404	5.288054	5.497129	7.051726	1.941133	2.728286	4.377669
ENSBTAG00000000286	439.934723	342.090302	309.778503	461.166595	132.229	108.5197	156.9332
ENSBTAG00000000296	6.772106	11.479692	4.604527	5.128856	0.342544	0.157454	0.672566
ENSBTAG00000000317	0.603701	1.183055	0.758863	0.563886	1.123581	0.0	0.0
ENSBTAG00000000330	10.714252	11.076382	8.094786	7.018831	0.995897	0.240206	0.618175
ENSBTAG00000000354	0.0	0.179926	0.069879	0.125919	0.0	0.0	0.0
ENSBTAG00000000355	22.717669	19.672026	23.102535	18.354517	4.80718	3.796586	6.614721
ENSBTAG00000000356	3.077421	6.347247	2.992766	3.806423	1.207332	1.878425	2.916767
ENSBTAG00000000379	6.783812	6.945851	6.751223	7.492561	8.888692	11.42768	8.959039
ENSBTAG00000000409	4.682951	4.857594	4.574408	4.089643	9.002123	10.4376	7.777359
ENSBTAG00000000411	17.388908	21.631336	15.623075	14.554372	2.33344	1.326934	2.890403
ENSBTAG00000000435	9.404873	9.115499	7.761386	9.312919	0.834331	2.24796	1.479483
ENSBTAG00000000446	0.961696	1.656188	0.898886	0.544748	0.0	0.0	0.0
ENSBTAG00000000475	4.470076	3.294653	4.922168	4.924168	0.0	1.364395	0.841131
ENSBTAG00000000478	32.157104	34.076763	39.649204	32.02689	0.0	0.0	1.502038
ENSBTAG00000000480	20.840698	27.322422	20.140842	19.236988	0.336464	1.141144	1.070317
ENSBTAG00000000489	0.576716	1.336861	0.845392	0.596957	0.0	0.0	0.111169
ENSBTAG00000000490	1.363027	1.537915	1.255914	1.065894	0.083329	0.059837	0.087224
ENSBTAG00000000500	4.688828	4.121505	5.054075	2.862438	1.394809	0.830029	1.913844
ENSBTAG00000000511	6.891562	3.619059	10.070951	6.878144	2.949364	2.998954	4.48638
ENSBTAG00000000524	70.311554	73.864792	50.984867	47.220005	5.447562	8.506187	10.62367
ENSBTAG00000000536	5.339499	7.608258	3.526741	4.575773	0.318338	0.654297	0.833617
ENSBTAG00000000559	22.371923	31.588249	24.767639	11.557872	1.048662	0.180896	0.450075
ENSBTAG00000000565	1.120688	1.479394	0.655969	0.675603	3.633301	5.403003	3.566316
ENSBTAG00000000575	1.184404	0.935223	0.959258	0.386933	0.152606	0.23173	0.081047
ENSBTAG00000000586	0.456363	0.80063	0.349459	0.431091	0.575183	1.030625	1.101413
ENSBTAG00000000590	0.141251	0.164867	0.051387	0.030551	0.0	0.0	0.0
ENSBTAG00000000646	4.156292	4.994576	4.047967	5.303277	0.653375	2.000054	2.252904
ENSBTAG00000000654	0.0	0.025339	0.017658	0.0	0.0	0.0	0.0
ENSBTAG00000000670	5.08993	5.318079	4.699987	4.502803	0.0	0.0	0.116958
ENSBTAG00000000671	0.712318	0.918573	0.378838	0.460462	0.072048	0.0	0.100884
ENSBTAG00000000694	209.083084	210.99202	289.335602	193.172073	4.397799	0.842711	7.629569
ENSBTAG00000000696	92.457329	97.099899	77.229378	79.620842	10.83085	8.18799	15.49396
ENSBTAG00000000697	1.837195	2.370511	0.754057	1.379851	0.176717	1.313916	0.718074
ENSBTAG00000000712	11.440823	12.450151	9.127948	9.580579	3.495143	3.932513	4.478457
ENSBTAG00000000771	30.238514	35.749161	29.846775	32.585506	2.451301	3.334439	2.710654
ENSBTAG00000000785	0.797802	0.971742	0.535019	0.402105	0.119128	0.159035	0.389193
ENSBTAG00000000789	74.251839	80.686607	87.098206	91.59259	3.235985	1.535844	2.678593
ENSBTAG00000000795	1.920029	2.453999	2.334249	1.712335	0.206749	0.389445	0.345224
ENSBTAG00000000810	288.638306	265.189972	262.753357	235.872543	2.940917	0.0	4.633818
ENSBTAG00000000811	6.596886	7.141558	7.399526	6.019442	1.691275	0.499574	1.535627
ENSBTAG00000000817	2.654698	3.211179	1.736444	2.328728	0.514122	0.38091	0.757745
ENSBTAG00000000829	1.305107	1.615453	0.825516	1.118645	0.0	0.357369	0.357491
ENSBTAG00000000831	2.200492	3.168502	2.547529	1.958329	1.359721	1.574402	2.198465
ENSBTAG00000000833	223.008087	292.505157	186.610916	209.78833	63.88105	40.71775	85.14404
ENSBTAG00000000848	11.777504	17.018723	11.469165	10.934625	1.195868	0.61285	1.934173
ENSBTAG00000000856	3.170964	3.123467	2.952545	3.044859	0.125732	0.195466	0.482042
ENSBTAG00000000857	18.82473	18.367283	19.225496	12.72563	2.974236	1.073681	3.228833
ENSBTAG00000000910	0.03976	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000916	0.680483	0.453258	0.674125	0.466586	0.0	0.0	0.0
ENSBTAG00000000918	3.268505	3.680403	4.633014	3.221915	0.715674	0.359851	0.902954
ENSBTAG00000000923	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000925	6.848518	7.444846	5.583129	6.240998	3.109466	4.079317	2.363266
ENSBTAG00000000945	1.369208	2.200777	1.427968	1.613248	0.093073	0.170566	0.300915
ENSBTAG00000000958	0.676473	0.809113	0.722487	0.449808	0.059699	0.443087	0.169533
ENSBTAG00000000961	78.186989	57.077351	50.000179	53.635471	5.155675	3.529257	7.140032
ENSBTAG00000000973	0.0	0.195086	0.186423	0.100333	0.398655	0.293685	0.424914
ENSBTAG00000000981	6.785438	9.24045	7.746501	6.052749	1.574968	0.711295	2.421036
ENSBTAG00000000982	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000990	112.673477	93.634056	121.160088	122.51754	17.00026	15.56635	14.06771
ENSBTAG00000000991	59.336098	45.394505	49.155285	56.107105	26.5813	25.42082	24.33967
ENSBTAG00000000997	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000001009	3.410779	3.936981	2.088038	2.08456	0.964942	0.290276	1.359839
ENSBTAG00000001014	6.144251	11.17953	4.538754	5.359575	1.141014	1.399163	2.071556
ENSBTAG00000001020	0.108226	0.0	0.020153	0.046677	0.0	0.0	0.0
ENSBTAG00000001042	1.248904	1.763042	0.826111	1.439812	1.681803	1.128486	1.750734
ENSBTAG00000001058	0.0	0.0	0.0	0.0	2.224662	1.479707	3.592937
ENSBTAG00000001059	0.0	0.0	0.0	0.0	6.216309	0.0	7.661704
ENSBTAG00000001062	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000001069	12.019332	15.715434	6.268526	6.58951	3.116873	3.040534	3.861262
ENSBTAG00000001071	5.25389	5.57895	5.200219	4.705753	0.527555	0.438312	1.249667
ENSBTAG00000001101	0.540805	0.525888	0.24017	0.171915	0.0	0.309448	0.36467
ENSBTAG00000001109	220.803894	171.120377	216.341095	202.404663	43.47732	28.96065	48.10218
ENSBTAG00000001113	8.511232	8.648468	9.28912	11.900795	3.884337	5.509934	5.493708
ENSBTAG00000001119	2.430507	4.33032	2.087887	2.594549	0.0	0.083358	0.13023
ENSBTAG00000001120	25.503641	26.780123	23.773767	22.254467	7.097808	4.583777	8.799662
ENSBTAG00000001126	0.95839	2.078921	1.373136	1.031748	1.784587	1.22691	1.34205
ENSBTAG00000001140	51.606701	41.596222	46.033009	41.632736	7.779554	5.491235	13.39226
ENSBTAG00000001141	5.165605	6.520315	3.208708	2.945695	0.391693	0.412213	0.657261
ENSBTAG00000001144	289.07312	264.552582	327.119446	333.153046	243.2295	206.8175	192.7299
ENSBTAG00000001152	0.218757	0.184993	0.419905	0.462456	0.0	0.0	0.043403
ENSBTAG00000001153	9.11471	9.980604	8.722278	7.637148	0.914451	0.695047	2.377949
ENSBTAG00000001164	2.51763	2.926321	2.072706	2.461066	2.975976	2.951799	1.941181
ENSBTAG00000001168	3.205188	3.742493	2.605814	2.182512	0.0	1.20461	0.696492
ENSBTAG00000001174	41.714867	35.183273	40.32832	42.70895	33.94688	28.33714	29.30538
ENSBTAG00000001187	0.022836	0.09992	0.098419	0.045408	0.0	0.0	0.0
ENSBTAG00000001199	14.602243	14.115184	16.031574	17.640274	2.395364	1.884395	2.820225
ENSBTAG00000001204	14.013388	27.167885	10.151754	10.767788	2.830899	2.280815	3.55596
ENSBTAG00000001287	0.536068	0.515851	1.000561	0.653091	0.0	0.0	0.106289
ENSBTAG00000001290	1.034058	1.520146	1.435794	1.331699	1.22631	0.629541	0.972999
ENSBTAG00000001299	0.836821	1.539105	0.73106	0.59831	0.076131	0.28355	0.531034
ENSBTAG00000001314	6.047632	5.010833	5.264582	5.90984	2.392637	3.467558	1.806544
ENSBTAG00000001320	4.779418	6.295828	5.39913	5.573117	0.734065	0.673006	0.958196
ENSBTAG00000001329	34.151535	37.4212	27.433142	21.891298	2.152905	1.254645	1.731262
ENSBTAG00000001346	1.289551	3.936532	2.508903	2.623954	1.936797	1.532268	2.676898
ENSBTAG00000001350	0.876574	1.07724	1.145689	1.008262	1.22753	2.013475	1.379521
ENSBTAG00000001352	9.602509	11.650414	8.216791	7.952904	2.238315	1.544513	4.847157
ENSBTAG00000001353	68.497299	72.91246	63.340893	65.60038	7.5967	6.660734	14.3676
ENSBTAG00000001387	15.260566	16.429342	19.454285	15.782373	2.809547	2.477609	4.140116
ENSBTAG00000001401	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000001406	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000001410	1.328435	1.170922	0.93846	0.877211	0.331461	0.722575	0.526621
ENSBTAG00000001414	15.942205	23.919739	10.309525	7.428821	0.272597	0.0	0.728801
ENSBTAG00000001419	57.457771	48.64706	43.824722	50.30162	15.72844	10.61382	15.83827
ENSBTAG00000001424	3.945889	5.60116	3.713096	3.653398	4.472121	6.957853	8.011693
ENSBTAG00000001425	4.556438	6.061644	2.93876	3.572469	0.533268	2.044022	1.771287
ENSBTAG00000001473	27.881977	29.711823	14.703163	22.289988	3.899203	1.612922	2.98502
ENSBTAG00000001485	2.504725	3.982168	3.188202	2.863551	9.961315	11.52094	8.117606
ENSBTAG00000001504	6.489907	5.704653	5.965203	5.882823	1.861656	0.307769	1.168271
ENSBTAG00000001505	2.233973	1.88727	1.104234	1.305891	0.0	0.0	0.132801
ENSBTAG00000001511	6.153904	9.880326	6.253917	7.557713	1.208977	1.196401	3.914969
ENSBTAG00000001517	0.343496	0.929912	0.097283	0.469611	0.0	0.0	0.10839
ENSBTAG00000001518	7.55108	7.315692	4.381526	5.281261	4.290537	6.147837	7.645293
ENSBTAG00000001519	3.40882	3.240864	3.068965	3.806762	1.439108	0.581084	1.086306
ENSBTAG00000001520	121.789009	109.321617	126.612984	127.213226	13.86677	9.602754	14.69849
ENSBTAG00000001522	34.546795	30.563862	42.654095	42.334549	9.857124	8.961428	9.849388
